0000052038	FUNDACJA NA RZECZ OFIAR WYPADKÓW KOMUNIKACYJNYCH I BEZPIECZEŃSTWA W RUCHU DROGOWYM ''ZIELONY LIŚĆ''	831126.51
0000014574	STOWARZYSZENIE NA RZECZ NIEPEŁNOSPRAWNYCH SPES	810068.15
0000121785	FUNDACJA DLA DZIECI ''DAR SERCA''	802354.42
0000368135	FUNDACJA ''MIEJ SERCE''	765007.81
0000159689	STOWARZYSZENIE ''ŁÓDZKIE HOSPICJUM DLA DZIECI''	757062.65
0000128039	FUNDACJA HOSPICJUM ONKOLOGICZNE ŚWIĘTEGO KRZYSZTOFA W WARSZAWIE	711979.47
0000325747	FUNDACJA ''PARENT PROJECT MUSCULAR DYSTROPHY''	693405.62
0000069890	FUNDACJA ''BALIAN SPORT''	686685.16
0000137276	POLSKIE TOWARZYSTWO STWARDNIENIA ROZSIANEGO - ODDZIAŁ WIELKOPOLSKA	684442.59
0000224658	CARITAS POZNAŃSKA	679327.59
0000296652	FUNDACJA POMORSKIE HOSPICJUM DLA DZIECI	661476.55
0000031654	POLSKIE TOWARZYSTWO OPIEKI PALIATYWNEJ ODDZIAŁ W POZNANIU	660001.23
0000161200	STOWARZYSZENIE HOSPICJUM KRÓLOWEJ APOSTOŁÓW	648439.52
0000393013	FUNDACJA ''TĘCZOWY PARASOL''	631757.60
0000249071	MAŁOPOLSKIE HOSPICJUM DLA DZIECI	627098.79
0000332814	CENTRUM ROZWOJU LOKALNEGO	624603.88
0000262774	FUNDACJA SŁUŻBY RODZINIE ''NADZIEJA''	623504.69
0000114345	TOWARZYSTWO PRZYJACIÓŁ DZIECI	610237.51
0000016304	DIECEZJALNA FUNDACJA OCHRONY ŻYCIA	593181.92
0000124134	STOWARZYSZENIE ''PARAFIADA'' IM. ŚW. JÓZEFA KALASANCJUSZA	587665.69
0000311733	STOWARZYSZENIE NA RZECZ WSPOMAGANIA OSÓB Z NIEPEŁNOSPRAWNOŚCIĄ I ICH OTOCZENIA ''RAZEM''	586209.22
0000225750	CARITAS ARCHIDIECEZJI WARSZAWSKIEJ	584358.39
0000120305	STOWARZYSZENIE RODZICÓW DZIECI CHORYCH NA BIAŁACZKĘ I INNE CHOROBY NOWOTWOROWE	583483.58
0000298436	FUNDACJA NA RZECZ WSPIERANIA RODZINY ORAZ DZIECI I MŁODZIEŻY ''FUNDACJA Z UŚMIECHEM''	577194.65
0000057571	TOWARZYSTWO PRZYJACIÓŁ CHORYCH ''HOSPICJUM''	575741.00
0000039541	FUNDACJA SKARBOWOŚCI IM. JANA PAWŁA II	567372.75
